ARH	PCATASTRAL1	PCATASTRAL2	SUBPARCELA	VALOR	TIPO	AATIPO	IPP	SUPERFICIE	NINTERNO	NINTERNO_SUBPARCELA	CIRCULARIDAD	CONVEXIDAD	ELONGACION	PLUVIOMETRIA	TIPO_VERANO	ETP	TM	TMIN	CLASIF	INV	TUSEC	TUREG	REGIHU	REGITE	PLU	PSECO	PFRIO	PCAL	ALTURA_MEDIA	PENDIENTE_MEDIA	ORIENTACION_MEDIA	LAT	LON
1604	46122A0	1400529	a	24800	FCR	FR	3	178.500595	1989	13	352	217824794	175586644	0.606	0.991	0.587	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.33948	39.48969
1604	46122A0	800135	b	24800	FCR	FR	1	227.182575	1989	5	256	217821612	175585859	0.66	1	0.332	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.33301	39.48971
1604	46122A0	1000273	a	24800	FCR	FR	2	216.364358	1989	6	268	217826774	175586106	0.769	1	0.075	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.32734	39.48973
1604	46122A0	800243	0	24800	FCR	FR	1	227.182575	1989	5	86	217823282	175586114	0.594	1	0.532	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.32988	39.48974
1604	46121A0	600303	a	24800	FCR	FR	1	238.000793	1989	4	1394	217797751	175582636	0.629	0.918	0.122	850	4	34	18	62	6	4	25	50	3	6	700	4	4	2	5.3353	39.48983
1604	46121A0	200158	a	24800	FCR	FR	1	238.000793	1989	4	3330	217796358	175582806	0.606	0.999	0.531	850	4	34	18	62	6	4	25	50	3	6	700	4	4	2	5.32914	39.48987
1604	46121A0	300040	b	24800	FCR	FR	1	238.000793	1989	4	3450	217795131	175583030	0.543	0.903	0.291	850	4	34	18	62	6	4	25	50	3	6	700	4	4	2	5.32705	39.48988
1611	46249A0	200114	a	16100	FCR	FR	0	205.54614	1989	8	600	217667064	175520278	0.742	0.996	0.086	750	4	30	14	67	7	3	15	50	4	18	500	4	5	2	5.32788	39.48993
1604	46122A0	100162	a	24800	FCR	FR	2	216.364358	1989	6	495	217823095	175586529	0.617	0.928	0.128	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.33045	39.48994
1604	46122A0	700063	b	24800	FCR	FR	1	227.182575	1989	5	189	217826945	175586535	0.792	1	0.282	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.32929	39.48999
